testing_set_index	precision	recall	F1	MCC	AUC	fungal_FP	bacterial_FP	viral_FN	toolcombo	numtools
2	0.33263334733305333	0.792	0.46850044365572313	0.4297616050417852	0.9047	74	5292	208	1 1 0 1 1 1	5
2	0.3333333333333333	0.792	0.46919431279620855	0.430475456022277	0.9022	74	5296	208	1 0 0 0 1 1	3
2	0.3333333333333333	0.792	0.46919431279620855	0.430475456022277	0.9022	74	5296	208	1 1 0 0 1 1	4
1	0.38316151202749144	0.669	0.4872541879096869	0.43092153151933793	0.8373	0	5542	331	0 0 0 1 1 0	2
1	0.38316151202749144	0.669	0.4872541879096869	0.43092153151933793	0.8373	0	5542	331	0 1 0 1 1 0	3
7	0.38325740318906604	0.673	0.488388969521045	0.43254922161927606	0.8539	0	5533	327	0 0 0 1 1 1	3
7	0.38325740318906604	0.673	0.488388969521045	0.43254922161927606	0.8539	0	5533	327	0 1 0 1 1 1	4
3	0.39571865443425075	0.647	0.4910815939278937	0.43276182870065705	0.8359	0	5640	353	0 0 0 1 1 0	2
3	0.39571865443425075	0.647	0.4910815939278937	0.43276182870065705	0.8359	0	5640	353	0 1 0 1 1 0	3
6	0.38879159369527144	0.666	0.49096940656100263	0.43438076908241624	0.8488	0	5575	334	0 0 0 0 1 1	2
6	0.38879159369527144	0.666	0.49096940656100263	0.43438076908241624	0.8488	0	5575	334	0 1 0 0 1 1	3
3	0.39634146341463417	0.65	0.49242424242424243	0.43448330357801657	0.8452	163	5633	350	0 0 0 0 1 1	2
3	0.39634146341463417	0.65	0.49242424242424243	0.43448330357801657	0.8452	163	5633	350	0 1 0 0 1 1	3
10	0.3453493546951491	0.776	0.47797967354481063	0.4367531688521976	0.9013	70	5397	224	1 0 0 0 1 1	3
10	0.3453493546951491	0.776	0.47797967354481063	0.4367531688521976	0.9022	70	5397	224	1 0 0 1 1 1	4
10	0.3453493546951491	0.776	0.47797967354481063	0.4367531688521976	0.9013	70	5397	224	1 1 0 0 1 1	4
10	0.3453493546951491	0.776	0.47797967354481063	0.4367531688521976	0.9022	70	5397	224	1 1 0 1 1 1	5
1	0.3859250851305335	0.68	0.4923968139029689	0.43761809504296667	0.8423	173	5535	320	0 0 0 0 1 1	2
1	0.3859250851305335	0.68	0.4923968139029689	0.43761809504296667	0.8423	173	5535	320	0 1 0 0 1 1	3
1	0.36090953072085147	0.746	0.48646886208020873	0.4405744897973118	0.9108	86	5500	254	1 0 0 1 1 0	3
1	0.36090953072085147	0.746	0.48646886208020873	0.4405744897973118	0.9108	86	5500	254	1 1 0 1 1 0	4
5	0.39087759815242495	0.677	0.49560761346998533	0.4406454583302846	0.8518	161	5563	323	0 0 0 1 1 1	3
5	0.39087759815242495	0.677	0.49560761346998533	0.4406454583302846	0.8518	161	5563	323	0 1 0 1 1 1	4
1	0.36143410852713176	0.746	0.4869451697127938	0.4410654996728467	0.9063	86	5502	254	1 0 0 0 1 0	2
1	0.36143410852713176	0.746	0.4869451697127938	0.4410654996728467	0.9063	86	5502	254	1 1 0 0 1 0	3
3	0.3698630136986301	0.729	0.4907438572871087	0.4424624779545815	0.9044	89	5591	271	1 0 0 1 1 0	3
3	0.3698630136986301	0.729	0.4907438572871087	0.4424624779545815	0.9044	89	5591	271	1 1 0 1 1 0	4
3	0.3702386998476384	0.729	0.4910744358369821	0.4428045113644932	0.9007	89	5593	271	1 0 0 0 1 0	2
3	0.3702386998476384	0.729	0.4910744358369821	0.4428045113644932	0.9007	89	5593	271	1 1 0 0 1 0	3
4	0.4342485549132948	0.601	0.5041946308724832	0.4437347990943951	0.8151	0	5786	399	0 0 0 0 1 0	1
4	0.4342485549132948	0.601	0.5041946308724832	0.4437347990943951	0.8151	0	5786	399	0 1 0 0 1 0	2
6	0.3646543330087634	0.749	0.49050425671250814	0.4450499876485114	0.9085	81	5532	251	1 0 0 1 1 0	3
6	0.3646543330087634	0.749	0.49050425671250814	0.4450499876485114	0.9085	81	5532	251	1 1 0 1 1 0	4
6	0.36500974658869395	0.749	0.49082568807339444	0.4453808835014424	0.9041	81	5534	251	1 0 0 0 1 0	2
6	0.36500974658869395	0.749	0.49082568807339444	0.4453808835014424	0.9041	81	5534	251	1 1 0 0 1 0	3
9	0.35097864768683273	0.789	0.4858374384236453	0.4470046368140222	0.9095	72	5394	211	1 0 0 1 1 1	4
9	0.35097864768683273	0.789	0.4858374384236453	0.4470046368140222	0.9095	72	5394	211	1 1 0 1 1 1	5
9	0.35144766146993317	0.789	0.48628659476117103	0.4474632590912278	0.9061	72	5397	211	1 0 0 0 1 1	3
9	0.35144766146993317	0.789	0.48628659476117103	0.4474632590912278	0.9061	72	5397	211	1 1 0 0 1 1	4
6	0.3949483352468427	0.688	0.5018234865061998	0.44833466058325117	0.8657	0	5573	312	0 0 0 1 1 1	3
