testing_set_index	precision	recall	F1	MCC	AUC	fungal_FP	protist_FP	bacterial_FP	viral_FN	toolcombo	numtools
2	0.7152466367713004	0.319	0.44121715076071927	0.44164499338177104	0.9605	0	429	6420	681	0 1 1 0 0 1	3
5	0.9285714285714286	0.234	0.3738019169329074	0.4431822630785705	0.9704	0	0	6459	766	0 0 1 1 0 0	2
8	0.9465020576131687	0.23	0.3700724054706355	0.4444446309871942	0.9705	0	0	6461	770	0 0 1 1 0 0	2
5	0.43453237410071943	0.604	0.5054393305439331	0.4452475237416885	0.8282	155	280	6027	396	0 1 0 1 1 0	3
7	0.9397590361445783	0.234	0.3746997598078463	0.44643587644728133	0.9734	0	0	6455	766	0 0 1 1 0 0	2
7	0.44740853658536583	0.587	0.5077854671280276	0.4472898091536276	0.8235	160	279	6066	413	0 1 0 1 1 0	3
3	0.4357501794687724	0.607	0.5073129962390306	0.44750586474264875	0.8316	154	276	6041	393	0 1 0 1 1 0	3
6	0.9741379310344828	0.226	0.36688311688311687	0.4482138200385828	0.9696	0	0	6464	774	0 1 1 1 0 0	3
9	0.4401459854014598	0.603	0.5088607594936709	0.44892882138396595	0.8278	155	286	6025	397	0 1 0 1 1 0	3
8	0.8762541806020067	0.262	0.40338722093918405	0.4532594488738178	0.97	0	475	6462	738	0 0 1 0 0 1	2
1	0.8688524590163934	0.265	0.40613026819923376	0.45354666873800387	0.9691	0	474	6449	735	0 0 1 0 0 1	2
9	0.8873720136518771	0.26	0.4021655065738592	0.45497823231388573	0.9684	0	476	6458	740	0 0 1 0 0 1	2
6	0.4509658246656761	0.607	0.5174765558397272	0.4585784629777531	0.8304	149	282	6058	393	0 1 0 1 1 0	3
2	0.8717948717948718	0.272	0.41463414634146345	0.46062996320208727	0.9628	0	497	6438	728	0 1 1 1 0 0	3
5	0.8959731543624161	0.267	0.411402157164869	0.46402760756230743	0.9718	0	475	6470	733	0 0 1 0 0 1	2
7	0.8806451612903226	0.273	0.41679389312977105	0.4644133280412233	0.9709	0	475	6458	727	0 0 1 0 0 1	2
8	0.45248538011695905	0.619	0.5228040540540541	0.4650682965878631	0.8458	158	279	6058	381	0 1 0 1 1 0	3
4	0.8738170347003155	0.277	0.4206529992406986	0.46567719912063343	0.967	171	475	6456	723	0 0 1 0 0 1	2
9	0.8966666666666666	0.269	0.41384615384615386	0.4660176192214951	0.9635	0	498	6440	731	0 1 1 1 0 0	3
2	0.4934152765583846	0.562	0.5254791958859281	0.4676786968112873	0.7735	152	281	6206	438	0 1 0 1 0 0	2
2	0.552423900789177	0.49	0.5193428722840489	0.4683335219551132	0.7671	0	499	6135	510	0 0 0 1 1 0	2
4	0.8961038961038961	0.276	0.42201834862385323	0.4720770985547261	0.9626	171	499	6440	724	0 1 1 1 0 0	3
3	0.4642049736247174	0.616	0.5294370434035238	0.472323703246224	0.8843	154	246	6115	384	0 1 0 0 1 1	3
3	0.884375	0.283	0.4287878787878787	0.4743901923217227	0.962	0	0	6443	717	0 1 1 1 0 0	3
6	0.4718146718146718	0.611	0.5324618736383442	0.47537054995987527	0.8857	148	252	6119	389	0 1 0 0 1 1	3
10	0.4911392405063291	0.582	0.5327231121281464	0.4755809617555826	0.8396	160	252	6200	418	0 1 0 1 0 1	3
1	0.47063310450038137	0.617	0.5339679792297707	0.47733697289856647	0.8417	165	279	6090	383	0 1 0 1 1 0	3
5	0.4908026755852843	0.587	0.5346083788706739	0.4776930406494241	0.7832	155	281	6176	413	0 1 0 1 0 0	2
1	0.4691729323308271	0.624	0.5356223175965666	0.47941728597910627	0.8913	165	250	6090	376	0 1 0 0 1 1	3
2	0.8962264150943396	0.285	0.43247344461305004	0.4799887943122364	0.9703	0	477	6463	715	0 0 1 0 0 1	2
7	0.5079928952042628	0.572	0.5380997177798682	0.48208301674081555	0.776	160	279	6223	428	0 1 0 1 0 0	2
9	0.5030355594102341	0.58	0.5387830933581049	0.4825712752237768	0.7865	155	287	6199	420	0 1 0 1 0 0	2
1	0.9155844155844156	0.282	0.43119266055045874	0.4836899720490766	0.9684	0	499	6438	718	0 1 1 1 0 0	3
10	0.8835820895522388	0.296	0.4434456928838951	0.4852531578179268	0.973	0	474	6463	704	0 0 1 0 0 1	2
3	0.5029991431019709	0.587	0.5417628057221966	0.4859503617979501	0.7804	154	277	6218	413	0 1 0 1 0 0	2
4	0.4704579025110783	0.637	0.5412064570943076	0.48611336460434995	0.8939	166	254	6082	363	0 1 0 0 1 1	3
9	0.4765151515151515	0.629	0.5422413793103448	0.48685205183799596	0.8828	155	256	6108	371	0 1 0 0 1 1	3
6	0.509170305676856	0.583	0.5435897435897437	0.48800882170377285	0.7872	149	283	6210	417	0 1 0 1 0 0	2
8	0.4793577981651376	0.627	0.5433275563258232	0.4880356622036092	0.9017	158	250	6122	373	0 1 0 0 1 1	3
4	0.5109745390693591	0.582	0.544179523141655	0.48881535320226077	0.7836	167	283	6207	418	0 1 0 1 0 0	2
5	0.887240356083086	0.299	0.44727000747943146	0.4890412939086449	0.9648	0	496	6444	701	0 1 1 1 0 0	3
4	0.5816917728852838	0.502	0.5389157273215245	0.4914699734984951	0.7837	0	0	6153	498	0 0 0 1 1 0	2
2	0.4790104947526237	0.639	0.5475578406169666	0.4931134663216728	0.8902	152	252	6118	361	0 1 0 0 1 1	3
7	0.9238095238095239	0.291	0.44258555133079847	0.49428940735332455	0.9667	168	0	6447	709	0 1 1 1 0 0	3
8	0.8914956011730205	0.304	0.45339299030574204	0.49471352178536365	0.9649	0	495	6445	696	0 1 1 1 0 0	3
3	0.5753880266075388	0.519	0.5457413249211357	0.4969761828161112	0.7852	0	499	6155	481	0 0 0 1 1 0	2
7	0.4786764705882353	0.651	0.5516949152542373	0.4982839816328459	0.8932	159	249	6098	349	0 1 0 0 1 1	3
9	0.6578171091445427	0.446	0.5315852205005959	0.49973643071622403	0.9606	0	427	6317	554	0 1 1 0 1 1	4
9	0.5788888888888889	0.521	0.548421052631579	0.49996753984390274	0.7771	0	499	6132	479	0 0 0 1 1 0	2
8	0.5159345391903531	0.599	0.5543729754743174	0.5001805886972044	0.7923	158	279	6219	401	0 1 0 1 0 0	2
5	0.483271375464684	0.65	0.5543710021321963	0.5011626278695201	0.892	154	252	6117	350	0 1 0 0 1 1	3
5	0.5832402234636872	0.522	0.5509234828496041	0.5030450920377451	0.7802	0	499	6160	478	0 0 0 1 1 0	2
10	0.4810771470160116	0.661	0.556866048862679	0.504477009059705	0.8932	160	252	6083	339	0 1 0 0 1 1	3
3	0.6706231454005934	0.452	0.5400238948626045	0.5097351754922657	0.9599	0	427	6339	548	0 1 1 0 1 1	4
1	0.5290492957746479	0.601	0.5627340823970036	0.5097657115096786	0.7882	165	279	6233	399	0 1 0 1 0 0	2
7	0.6132530120481928	0.509	0.5562841530054645	0.5128457868220098	0.7806	0	0	6187	491	0 0 0 1 1 0	2
4	0.6681096681096681	0.463	0.5469580626107502	0.5150870229924586	0.9598	170	427	6321	537	0 1 1 0 1 1	4
8	0.5939933259176863	0.534	0.5624012638230649	0.5155941941098201	0.7993	0	0	6163	466	0 0 0 1 1 0	2
6	0.7138103161397671	0.429	0.5359150530918176	0.5158210510186466	0.9656	0	448	6355	571	0 1 1 0 1 1	4
6	0.6152073732718893	0.534	0.5717344753747323	0.52753851630797	0.7853	0	499	6183	466	0 0 0 1 1 0	2
1	0.6978851963746223	0.462	0.555956678700361	0.5290915282798173	0.9623	0	427	6338	538	0 1 1 0 1 1	4
9	0.7549194991055456	0.422	0.541372674791533	0.5298008297278471	0.9677	0	476	6359	578	0 0 1 0 1 1	3
2	0.6859623733719248	0.474	0.560615020697812	0.530520634588194	0.9617	0	0	6288	526	0 0 1 1 1 0	3
3	0.7576301615798923	0.422	0.5420680796403339	0.5310537014376382	0.9674	0	473	6376	578	0 0 1 0 1 1	3
8	0.6905109489051094	0.473	0.5614243323442136	0.5322017162419326	0.9632	0	427	6343	527	0 1 1 0 1 1	4
3	0.5790513833992095	0.586	0.5825049701789264	0.5338682126683797	0.8936	0	402	6182	414	0 0 0 0 1 1	2
1	0.6464019851116626	0.521	0.5769656699889258	0.5375454194477607	0.7966	0	0	6210	479	0 0 0 1 1 0	2
7	0.6879432624113475	0.485	0.5689149560117303	0.5381450642122574	0.9627	168	429	6328	515	0 1 1 0 1 1	4
4	0.7565217391304347	0.435	0.5523809523809524	0.5391551267452731	0.9668	171	475	6359	565	0 0 1 0 1 1	3
4	0.6945244956772334	0.482	0.5690672963400236	0.5396182034814199	0.9614	0	0	6271	518	0 0 1 1 1 0	3
9	0.6861111111111111	0.494	0.5744186046511628	0.5425631024344411	0.9614	0	0	6261	506	0 0 1 1 1 0	3
10	0.47815072830905636	0.755	0.5854982551376502	0.5433964661037716	0.9052	160	252	5995	245	0 1 0 1 1 1	4
10	0.6985714285714286	0.489	0.5752941176470588	0.5458376543525022	0.9645	0	425	6345	511	0 1 1 0 1 1	4
6	0.5979695431472081	0.589	0.5934508816120907	0.5466879479082585	0.8984	154	403	6196	411	0 0 0 0 1 1	2
1	0.5918570009930486	0.596	0.5939212755356253	0.5467043209740671	0.9009	0	405	6167	404	0 0 0 0 1 1	2
