toolcombo,toolcombo2,assembly,num_viruses,prop_vir,numtools
0 1 0 0 1 0,0 DVF 0 0 VS 0,Amsterdam_Wee,20,0.038535645472061654,2
1 1 0 0 0 0,tnv DVF 0 0 0 0,Dundee_Clat,47,0.03933054393305439,2
1 1 0 0 1 0,tnv DVF 0 0 VS 0,Dundee_Clat,47,0.03933054393305439,3
0 1 0 0 0 0,0 DVF 0 0 0 0,Birmingham_Maria,22,0.04021937842778794,1
0 1 0 0 1 0,0 DVF 0 0 VS 0,Birmingham_Maria,22,0.04021937842778794,2
0 1 0 1 0 0,0 DVF 0 VB 0 0,Amsterdam_Wee,21,0.04046242774566474,2
0 1 0 1 1 0,0 DVF 0 VB VS 0,Amsterdam_Wee,21,0.04046242774566474,3
0 1 0 0 0 0,0 DVF 0 0 0 0,Glasgow_Mil,8,0.041237113402061855,1
0 1 0 0 1 0,0 DVF 0 0 VS 0,Glasgow_Mil,8,0.041237113402061855,2
0 0 0 1 0 0,0 0 0 VB 0 0,Dundee_Maria,10,0.0425531914893617,1
0 0 0 1 1 0,0 0 0 VB VS 0,Dundee_Maria,10,0.0425531914893617,2
1 0 0 1 0 0,tnv 0 0 VB 0 0,Dundee_Maria,10,0.0425531914893617,2
1 0 0 1 1 0,tnv 0 0 VB VS 0,Dundee_Maria,10,0.0425531914893617,3
1 1 0 1 0 0,tnv DVF 0 VB 0 0,Cardiff_Maria,27,0.04404567699836868,3
1 1 0 1 1 0,tnv DVF 0 VB VS 0,Cardiff_Maria,27,0.04404567699836868,4
1 0 0 0 0 1,tnv 0 0 0 0 VS2,South_Holland_Dla,9,0.04411764705882353,2
1 0 0 0 1 1,tnv 0 0 0 VS VS2,South_Holland_Dla,9,0.04411764705882353,3
1 0 0 1 0 1,tnv 0 0 VB 0 VS2,South_Holland_Dla,9,0.04411764705882353,3
1 0 0 1 1 1,tnv 0 0 VB VS VS2,South_Holland_Dla,9,0.04411764705882353,4
1 1 0 0 0 0,tnv DVF 0 0 0 0,Nieuwkoop_DHB,33,0.04429530201342282,2
1 1 0 0 1 0,tnv DVF 0 0 VS 0,Nieuwkoop_DHB,33,0.04429530201342282,3
1 0 0 0 0 1,tnv 0 0 0 0 VS2,Amsterdam_Wee,24,0.046242774566473986,2
1 0 0 0 1 1,tnv 0 0 0 VS VS2,Amsterdam_Wee,24,0.046242774566473986,3
1 1 0 0 0 0,tnv DVF 0 0 0 0,Dundee_Maria,11,0.04680851063829787,2
1 1 0 0 1 0,tnv DVF 0 0 VS 0,Dundee_Maria,11,0.04680851063829787,3
1 1 0 1 0 0,tnv DVF 0 VB 0 0,Nieuwkoop_DHB,35,0.04697986577181208,3
1 1 0 1 1 0,tnv DVF 0 VB VS 0,Nieuwkoop_DHB,35,0.04697986577181208,4
1 1 1 0 0 0,tnv DVF tv 0 0 0,Amsterdam_Wee,25,0.04816955684007707,3
1 1 1 0 1 0,tnv DVF tv 0 VS 0,Amsterdam_Wee,25,0.04816955684007707,4
0 0 1 0 0 0,0 0 tv 0 0 0,South_Holland_Dla,10,0.049019607843137254,1
