"","toolcombo","toolcombo2","assembly","num_viruses","prop_vir","numtools","environment"
"4176","1 1 0 0 1 0","tv DVF 0 0 VS 0","Su13VDMM15SNSu13VDMM15SNFD",121,0.775641025641026,3,"Lake_Michigan"
"4177","1 1 0 1 0 0","tv DVF 0 VB 0 0","Su13VDMM15SNSu13VDMM15SNFD",121,0.775641025641026,3,"Lake_Michigan"
"4178","1 1 0 1 1 0","tv DVF 0 VB VS 0","Su13VDMM15SNSu13VDMM15SNFD",121,0.775641025641026,4,"Lake_Michigan"
"4179","1 0 0 0 0 1","tv 0 0 0 0 VS2","Sp13VDMM15DDSp13VDMM15DDFD",646,0.777376654632972,2,"Lake_Michigan"
"4180","1 0 0 0 1 1","tv 0 0 0 VS VS2","Sp13VDMM15DDSp13VDMM15DDFD",646,0.777376654632972,3,"Lake_Michigan"
"4181","1 0 0 1 0 1","tv 0 0 VB 0 VS2","Sp13VDMM15DDSp13VDMM15DDFD",653,0.785800240673887,3,"Lake_Michigan"
"4182","1 0 0 1 1 1","tv 0 0 VB VS VS2","Sp13VDMM15DDSp13VDMM15DDFD",653,0.785800240673887,4,"Lake_Michigan"
"4183","1 0 0 0 0 1","tv 0 0 0 0 VS2","Sp13NDMM110SNSp13NDMM110SNFD",400,0.78740157480315,2,"Lake_Michigan"
"4184","1 0 0 0 1 1","tv 0 0 0 VS VS2","Sp13NDMM110SNSp13NDMM110SNFD",400,0.78740157480315,3,"Lake_Michigan"
"4185","1 0 0 1 0 1","tv 0 0 VB 0 VS2","Sp13NDMM110SNSp13NDMM110SNFD",400,0.78740157480315,3,"Lake_Michigan"
"4186","1 0 0 1 1 1","tv 0 0 VB VS VS2","Sp13NDMM110SNSp13NDMM110SNFD",400,0.78740157480315,4,"Lake_Michigan"
"4187","1 1 0 0 0 0","tv DVF 0 0 0 0","Sp13NDMM110SNSp13NDMM110SNFD",400,0.78740157480315,2,"Lake_Michigan"
"4188","1 1 0 0 1 0","tv DVF 0 0 VS 0","Sp13NDMM110SNSp13NDMM110SNFD",400,0.78740157480315,3,"Lake_Michigan"
"4189","1 1 0 1 0 0","tv DVF 0 VB 0 0","Sp13NDMM110SNSp13NDMM110SNFD",405,0.797244094488189,3,"Lake_Michigan"
"4190","1 1 0 1 1 0","tv DVF 0 VB VS 0","Sp13NDMM110SNSp13NDMM110SNFD",405,0.797244094488189,4,"Lake_Michigan"
"4191","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Su13VDMM110SDSu13VDMM110SDFD",13455,0.801131289074129,4,"Lake_Michigan"
"4192","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Su13VDMM110SDSu13VDMM110SDFD",13455,0.801131289074129,5,"Lake_Michigan"
"4193","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Su13VDMM110SDSu13VDMM110SDFD",13476,0.802381661208693,5,"Lake_Michigan"
"4194","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Su13VDMM110SDSu13VDMM110SDFD",13476,0.802381661208693,6,"Lake_Michigan"
"4195","0 1 0 0 0 1","0 DVF 0 0 0 VS2","Sp13VDMM15DDSp13VDMM15DDFD",667,0.802647412755716,2,"Lake_Michigan"
"4196","0 1 0 0 1 1","0 DVF 0 0 VS VS2","Sp13VDMM15DDSp13VDMM15DDFD",667,0.802647412755716,3,"Lake_Michigan"
"4197","0 1 0 1 0 1","0 DVF 0 VB 0 VS2","Sp13VDMM15DDSp13VDMM15DDFD",673,0.809867629362214,3,"Lake_Michigan"
"4198","0 1 0 1 1 1","0 DVF 0 VB VS VS2","Sp13VDMM15DDSp13VDMM15DDFD",673,0.809867629362214,4,"Lake_Michigan"
"4199","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Su13VDMM110DNSu13VDMM110DNFD",14805,0.810655423533921,4,"Lake_Michigan"
"4200","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Su13VDMM110DNSu13VDMM110DNFD",14805,0.810655423533921,5,"Lake_Michigan"
"4201","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Fa13VDMM110DNFa13VDMM110DNFD",12822,0.811416276420706,4,"Lake_Michigan"
"4202","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Fa13VDMM110DNFa13VDMM110DNFD",12822,0.811416276420706,5,"Lake_Michigan"
"4203","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Su13VDMM110DNSu13VDMM110DNFD",14819,0.811422000766577,5,"Lake_Michigan"
"4204","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Su13VDMM110DNSu13VDMM110DNFD",14819,0.811422000766577,6,"Lake_Michigan"
"4205","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Fa13VDMM110DNFa13VDMM110DNFD",12831,0.811985824579167,5,"Lake_Michigan"
"4206","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Fa13VDMM110DNFa13VDMM110DNFD",12831,0.811985824579167,6,"Lake_Michigan"
"4207","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Su13VDMM15SDSu13VDMM15SDFD",14356,0.815635475257088,4,"Lake_Michigan"
"4208","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Su13VDMM15SDSu13VDMM15SDFD",14356,0.815635475257088,5,"Lake_Michigan"
"4209","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Su13VDMM15SDSu13VDMM15SDFD",14363,0.816033179932958,5,"Lake_Michigan"
"4210","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Su13VDMM15SDSu13VDMM15SDFD",14363,0.816033179932958,6,"Lake_Michigan"
